package_id,hub_id,hub_nama,kota,kecamatan_tujuan,latitude,longitude,jarak_ke_hub_km
PKT-000095,H02,Gudang JNE Kenjeran,Surabaya,Asemrowo,-7.2582761,112.6960972,8.542
PKT-000096,H02,Gudang JNE Kenjeran,Surabaya,Wiyung,-7.3254717,112.6985784,12.091
PKT-000097,H02,Gudang JNE Kenjeran,Surabaya,Tandes,-7.2832228,112.6757332,11.474
PKT-000098,H02,Gudang JNE Kenjeran,Surabaya,Bubutan,-7.2346095,112.7393218,3.829
PKT-000099,H02,Gudang JNE Kenjeran,Surabaya,Gubeng,-7.2736518,112.7557761,3.668
PKT-000100,H02,Gudang JNE Kenjeran,Surabaya,Asemrowo,-7.2595996,112.7048162,7.627
PKT-000101,H02,Gudang JNE Kenjeran,Surabaya,Gunung Anyar,-7.3209679,112.7516944,8.742
PKT-000102,H02,Gudang JNE Kenjeran,Surabaya,Gunung Anyar,-7.3413553,112.7805124,10.743
PKT-000103,H02,Gudang JNE Kenjeran,Surabaya,Krembangan,-7.2430198,112.7156837,6.259
PKT-000104,H02,Gudang JNE Kenjeran,Surabaya,Tenggilis Mejoyo,-7.3211991,112.7567719,8.638
PKT-000105,H02,Gudang JNE Kenjeran,Surabaya,Tegalsari,-7.3013123,112.7253744,8.124
PKT-000106,H02,Gudang JNE Kenjeran,Surabaya,Pakal,-7.229852,112.6061719,18.413
PKT-000107,H02,Gudang JNE Kenjeran,Surabaya,Pakal,-7.2208434,112.5961527,19.627
PKT-000108,H02,Gudang JNE Kenjeran,Surabaya,Rungkut,-7.3243991,112.7969862,9.228
PKT-000109,H02,Gudang JNE Kenjeran,Surabaya,Wonocolo,-7.3268651,112.7526718,9.351
PKT-000110,H02,Gudang JNE Kenjeran,Surabaya,Jambangan,-7.3252501,112.7269126,10.229
PKT-000111,H02,Gudang JNE Kenjeran,Surabaya,Genteng,-7.2550295,112.7469958,3.012
PKT-000112,H02,Gudang JNE Kenjeran,Surabaya,Sawahan,-7.2776696,112.7210962,6.719
PKT-000113,H02,Gudang JNE Kenjeran,Surabaya,Benowo,-7.2538373,112.651487,13.372
PKT-000114,H02,Gudang JNE Kenjeran,Surabaya,Wiyung,-7.3049368,112.6986793,10.507
PKT-000115,H02,Gudang JNE Kenjeran,Surabaya,Wonocolo,-7.3184893,112.7384066,8.982
PKT-000116,H02,Gudang JNE Kenjeran,Surabaya,Sukolilo,-7.2839369,112.7731319,4.322
PKT-000117,H02,Gudang JNE Kenjeran,Surabaya,Rungkut,-7.3434776,112.7747889,10.945
PKT-000118,H02,Gudang JNE Kenjeran,Surabaya,Gubeng,-7.2899629,112.7518448,5.481
PKT-000119,H02,Gudang JNE Kenjeran,Surabaya,Sambikerep,-7.2832626,112.6771096,11.335
PKT-000120,H02,Gudang JNE Kenjeran,Surabaya,Tenggilis Mejoyo,-7.3170752,112.7574031,8.175
PKT-000121,H02,Gudang JNE Kenjeran,Surabaya,Gunung Anyar,-7.3364101,112.7768149,10.167
PKT-000122,H02,Gudang JNE Kenjeran,Surabaya,Pakal,-7.2447821,112.6205319,16.751
PKT-000123,H02,Gudang JNE Kenjeran,Surabaya,Jambangan,-7.3376259,112.7224279,11.673
PKT-000124,H02,Gudang JNE Kenjeran,Surabaya,Rungkut,-7.3144764,112.7772079,7.735
PKT-000125,H02,Gudang JNE Kenjeran,Surabaya,Lakarsantri,-7.2850506,112.6582622,13.35
PKT-000126,H02,Gudang JNE Kenjeran,Surabaya,Genteng,-7.2644727,112.7529454,3.042
PKT-000127,H02,Gudang JNE Kenjeran,Surabaya,Bubutan,-7.2596185,112.7572448,2.325
PKT-000128,H02,Gudang JNE Kenjeran,Surabaya,Tenggilis Mejoyo,-7.3295721,112.7411759,10.006
PKT-000129,H02,Gudang JNE Kenjeran,Surabaya,Mulyorejo,-7.2655515,112.8036679,4.134
PKT-000130,H02,Gudang JNE Kenjeran,Surabaya,Pakal,-7.2381194,112.6107646,17.845
PKT-000131,H02,Gudang JNE Kenjeran,Surabaya,Semampir,-7.2106158,112.7729923,3.833
PKT-000132,H02,Gudang JNE Kenjeran,Surabaya,Tambaksari,-7.2638408,112.7852977,2.526
PKT-000133,H02,Gudang JNE Kenjeran,Surabaya,Jambangan,-7.3237004,112.7158822,10.737
PKT-000134,H02,Gudang JNE Kenjeran,Surabaya,Asemrowo,-7.2609639,112.7107143,7.029
PKT-000135,H02,Gudang JNE Kenjeran,Surabaya,Sukolilo,-7.2915562,112.7772714,5.196
PKT-000136,H02,Gudang JNE Kenjeran,Surabaya,Sawahan,-7.2869467,112.7156701,7.798
PKT-000137,H02,Gudang JNE Kenjeran,Surabaya,Tegalsari,-7.3027599,112.7282651,8.051
PKT-000138,H02,Gudang JNE Kenjeran,Surabaya,Pakal,-7.2291582,112.6021449,18.863
PKT-000139,H02,Gudang JNE Kenjeran,Surabaya,Gubeng,-7.269273,112.7537318,3.387
PKT-000140,H02,Gudang JNE Kenjeran,Surabaya,Pakal,-7.2445458,112.602356,18.756
PKT-000141,H02,Gudang JNE Kenjeran,Surabaya,Tenggilis Mejoyo,-7.3265942,112.7727918,9.064
PKT-000142,H02,Gudang JNE Kenjeran,Surabaya,Wonokromo,-7.2819561,112.7565302,4.458
PKT-000143,H02,Gudang JNE Kenjeran,Surabaya,Asemrowo,-7.2539063,112.7235318,5.478
PKT-000144,H02,Gudang JNE Kenjeran,Surabaya,Benowo,-7.27179,112.6434291,14.532
PKT-000145,H02,Gudang JNE Kenjeran,Surabaya,Pabean Cantian,-7.2201315,112.7138767,7.025
PKT-000146,H02,Gudang JNE Kenjeran,Surabaya,Pabean Cantian,-7.2123866,112.7447157,4.747
PKT-000147,H02,Gudang JNE Kenjeran,Surabaya,Simokerto,-7.2440304,112.7448991,3.035
PKT-000148,H02,Gudang JNE Kenjeran,Surabaya,Dukuh Pakis,-7.28435,112.6794432,11.143
PKT-000149,H02,Gudang JNE Kenjeran,Surabaya,Genteng,-7.2613317,112.758695,2.355
PKT-000150,H02,Gudang JNE Kenjeran,Surabaya,Karang Pilang,-7.3419412,112.7190525,12.273
PKT-000151,H02,Gudang JNE Kenjeran,Surabaya,Krembangan,-7.2298591,112.7400087,3.952
PKT-000152,H02,Gudang JNE Kenjeran,Surabaya,Simokerto,-7.2527556,112.7674033,1.016
PKT-000153,H02,Gudang JNE Kenjeran,Surabaya,Lakarsantri,-7.3135956,112.6548494,15.037
PKT-000154,H02,Gudang JNE Kenjeran,Surabaya,Krembangan,-7.2333785,112.7225253,5.652
PKT-000155,H02,Gudang JNE Kenjeran,Surabaya,Asemrowo,-7.267314,112.7116602,7.14
PKT-000156,H02,Gudang JNE Kenjeran,Surabaya,Sawahan,-7.2748551,112.728144,5.898
PKT-000157,H02,Gudang JNE Kenjeran,Surabaya,Pabean Cantian,-7.2134535,112.7458775,4.574
PKT-000158,H02,Gudang JNE Kenjeran,Surabaya,Genteng,-7.2396913,112.7442722,3.159
PKT-000159,H02,Gudang JNE Kenjeran,Surabaya,Pabean Cantian,-7.2043073,112.7400929,5.766
PKT-000160,H02,Gudang JNE Kenjeran,Surabaya,Sawahan,-7.2731062,112.7131682,7.238
PKT-000161,H02,Gudang JNE Kenjeran,Surabaya,Simokerto,-7.2385245,112.7363491,4.042
PKT-000162,H02,Gudang JNE Kenjeran,Surabaya,Mulyorejo,-7.2610784,112.7768356,1.846
PKT-000163,H02,Gudang JNE Kenjeran,Surabaya,Sambikerep,-7.2738558,112.6669316,12.064
PKT-000164,H02,Gudang JNE Kenjeran,Surabaya,Jambangan,-7.3225634,112.7004376,11.714
PKT-000165,H02,Gudang JNE Kenjeran,Surabaya,Genteng,-7.2634792,112.7434343,3.793
PKT-000166,H02,Gudang JNE Kenjeran,Surabaya,Wonocolo,-7.3258465,112.7456089,9.454
PKT-000167,H02,Gudang JNE Kenjeran,Surabaya,Rungkut,-7.3228529,112.7800684,8.69
PKT-000168,H02,Gudang JNE Kenjeran,Surabaya,Gayungan,-7.316431,112.7067976,10.737
PKT-000169,H02,Gudang JNE Kenjeran,Surabaya,Gayungan,-7.3385178,112.7289595,11.441
PKT-000170,H02,Gudang JNE Kenjeran,Surabaya,Simokerto,-7.2430133,112.7415398,3.411
PKT-000171,H02,Gudang JNE Kenjeran,Surabaya,Krembangan,-7.2382693,112.7540533,2.16
PKT-000172,H02,Gudang JNE Kenjeran,Surabaya,Tambaksari,-7.2423588,112.7773974,0.63
PKT-000173,H02,Gudang JNE Kenjeran,Surabaya,Wonokromo,-7.28501,112.7385593,5.8
PKT-000174,H02,Gudang JNE Kenjeran,Surabaya,Simokerto,-7.2382321,112.7412249,3.521
PKT-000175,H02,Gudang JNE Kenjeran,Surabaya,Tegalsari,-7.2784195,112.7208531,6.787
PKT-000176,H02,Gudang JNE Kenjeran,Surabaya,Tegalsari,-7.2651468,112.7274838,5.433
PKT-000177,H02,Gudang JNE Kenjeran,Surabaya,Lakarsantri,-7.3067124,112.6481135,15.325
PKT-000178,H02,Gudang JNE Kenjeran,Surabaya,Wiyung,-7.311357,112.665343,13.918
PKT-000179,H02,Gudang JNE Kenjeran,Surabaya,Wiyung,-7.310197,112.673656,13.078
PKT-000180,H02,Gudang JNE Kenjeran,Surabaya,Sawahan,-7.2684579,112.7293653,5.411
PKT-000181,H02,Gudang JNE Kenjeran,Surabaya,Wonocolo,-7.3190984,112.7468268,8.7
PKT-000182,H02,Gudang JNE Kenjeran,Surabaya,Dukuh Pakis,-7.277465,112.6816352,10.639
PKT-000183,H02,Gudang JNE Kenjeran,Surabaya,Rungkut,-7.3200485,112.7990928,8.841
PKT-000184,H02,Gudang JNE Kenjeran,Surabaya,Wonocolo,-7.3142995,112.7495644,8.098
PKT-000185,H02,Gudang JNE Kenjeran,Surabaya,Dukuh Pakis,-7.2929315,112.6814109,11.358
PKT-000186,H02,Gudang JNE Kenjeran,Surabaya,Asemrowo,-7.2475712,112.694904,8.552
PKT-000187,H02,Gudang JNE Kenjeran,Surabaya,Gayungan,-7.3476233,112.7164879,12.963
PKT-000188,H02,Gudang JNE Kenjeran,Surabaya,Jambangan,-7.3128376,112.7028235,10.754
PKT-000189,H02,Gudang JNE Kenjeran,Surabaya,Semampir,-7.2034357,112.752043,5.146
PKT-000190,H02,Gudang JNE Kenjeran,Surabaya,Gayungan,-7.3510474,112.7414649,12.267
PKT-000191,H02,Gudang JNE Kenjeran,Surabaya,Tegalsari,-7.2927258,112.7440661,6.151
PKT-000192,H02,Gudang JNE Kenjeran,Surabaya,Krembangan,-7.2306737,112.7072714,7.359
PKT-000193,H02,Gudang JNE Kenjeran,Surabaya,Semampir,-7.2119404,112.7640001,3.799
PKT-000194,H02,Gudang JNE Kenjeran,Surabaya,Benowo,-7.2640656,112.6573458,12.864
PKT-000195,H02,Gudang JNE Kenjeran,Surabaya,Tenggilis Mejoyo,-7.3261673,112.761987,9.089
PKT-000196,H02,Gudang JNE Kenjeran,Surabaya,Tambaksari,-7.2760563,112.7621592,3.625
PKT-000197,H02,Gudang JNE Kenjeran,Surabaya,Gubeng,-7.2807428,112.7548023,4.415
PKT-000198,H02,Gudang JNE Kenjeran,Surabaya,Sawahan,-7.2905015,112.726971,7.114
PKT-000199,H02,Gudang JNE Kenjeran,Surabaya,Lakarsantri,-7.2953145,112.6650337,13.093
PKT-000200,H02,Gudang JNE Kenjeran,Surabaya,Asemrowo,-7.2635607,112.708048,7.389
PKT-000201,H02,Gudang JNE Kenjeran,Surabaya,Genteng,-7.2723823,112.7626059,3.222
PKT-000202,H02,Gudang JNE Kenjeran,Surabaya,Tegalsari,-7.2953396,112.7451228,6.347
PKT-000203,H02,Gudang JNE Kenjeran,Surabaya,Semampir,-7.1998577,112.7534178,5.446
PKT-000204,H02,Gudang JNE Kenjeran,Surabaya,Simokerto,-7.2486232,112.76775,0.646
PKT-000205,H02,Gudang JNE Kenjeran,Surabaya,Gayungan,-7.3287868,112.7247455,10.689
PKT-000206,H02,Gudang JNE Kenjeran,Surabaya,Benowo,-7.2433071,112.6436486,14.202
PKT-000207,H02,Gudang JNE Kenjeran,Surabaya,Benowo,-7.256982,112.6400903,14.653
PKT-000208,H03,GATEWAY J&T CARGO SURABAYA,Surabaya,Pabean Cantian,-7.1950339,112.7517275,10.789
PKT-000209,H03,GATEWAY J&T CARGO SURABAYA,Surabaya,Tambaksari,-7.2573592,112.748531,10.614
PKT-000210,H03,GATEWAY J&T CARGO SURABAYA,Surabaya,Lakarsantri,-7.3299136,112.642742,11.904
PKT-000211,H03,GATEWAY J&T CARGO SURABAYA,Surabaya,Wonocolo,-7.3007295,112.7520414,13.4
PKT-000212,H03,GATEWAY J&T CARGO SURABAYA,Surabaya,Simokerto,-7.2444117,112.7682984,12.336
PKT-000213,H03,GATEWAY J&T CARGO SURABAYA,Surabaya,Bubutan,-7.2529392,112.7499658,10.603
PKT-000214,H03,GATEWAY J&T CARGO SURABAYA,Surabaya,Simokerto,-7.2584185,112.7737387,13.289
PKT-000215,H03,GATEWAY J&T CARGO SURABAYA,Surabaya,Asemrowo,-7.2374274,112.7133352,6.244
PKT-000216,H03,GATEWAY J&T CARGO SURABAYA,Surabaya,Sawahan,-7.2684962,112.7348983,9.785
PKT-000217,H03,GATEWAY J&T CARGO SURABAYA,Surabaya,Tandes,-7.2479034,112.6556599,2.676
PKT-000218,H03,GATEWAY J&T CARGO SURABAYA,Surabaya,Pakal,-7.231351,112.5939672,7.152
PKT-000219,H03,GATEWAY J&T CARGO SURABAYA,Surabaya,Sambikerep,-7.28139,112.6637715,6.411
PKT-000220,H03,GATEWAY J&T CARGO SURABAYA,Surabaya,Gunung Anyar,-7.3232618,112.7753117,16.977
PKT-000221,H03,GATEWAY J&T CARGO SURABAYA,Surabaya,Benowo,-7.237979,112.6283541,3.659
PKT-000222,H03,GATEWAY J&T CARGO SURABAYA,Surabaya,Pakal,-7.2458366,112.6130673,5.558
PKT-000223,H03,GATEWAY J&T CARGO SURABAYA,Surabaya,Genteng,-7.2494854,112.7328266,8.688
PKT-000224,H03,GATEWAY J&T CARGO SURABAYA,Surabaya,Karang Pilang,-7.3272353,112.715686,13.106
PKT-000225,H03,GATEWAY J&T CARGO SURABAYA,Surabaya,Sawahan,-7.2719878,112.7379435,10.272
PKT-000226,H03,GATEWAY J&T CARGO SURABAYA,Surabaya,Krembangan,-7.2363643,112.7181837,6.739
PKT-000227,H03,GATEWAY J&T CARGO SURABAYA,Surabaya,Tegalsari,-7.2768568,112.7253095,9.437
PKT-000228,H03,GATEWAY J&T CARGO SURABAYA,Surabaya,Jambangan,-7.3232859,112.7408198,14.304
PKT-000229,H03,GATEWAY J&T CARGO SURABAYA,Surabaya,Wiyung,-7.3051626,112.6819166,9.392
PKT-000230,H03,GATEWAY J&T CARGO SURABAYA,Surabaya,Tambaksari,-7.2668667,112.7601871,12.2
PKT-000231,H03,GATEWAY J&T CARGO SURABAYA,Surabaya,Dukuh Pakis,-7.2587407,112.6887599,5.115
PKT-000232,H03,GATEWAY J&T CARGO SURABAYA,Surabaya,Lakarsantri,-7.3171138,112.6623235,10.364
PKT-000233,H03,GATEWAY J&T CARGO SURABAYA,Surabaya,Wiyung,-7.3245814,112.7083329,12.469
PKT-000234,H03,GATEWAY J&T CARGO SURABAYA,Surabaya,Wonocolo,-7.3061392,112.7274259,11.893
PKT-000235,H03,GATEWAY J&T CARGO SURABAYA,Surabaya,Wonokromo,-7.2960272,112.7381663,11.9
PKT-000236,H03,GATEWAY J&T CARGO SURABAYA,Surabaya,Bulak,-7.2533809,112.8034301,16.331
PKT-000237,H03,GATEWAY J&T CARGO SURABAYA,Surabaya,Mulyorejo,-7.2695318,112.7672712,13.035
PKT-000238,H03,GATEWAY J&T CARGO SURABAYA,Surabaya,Semampir,-7.2164028,112.7523394,10.399
PKT-000239,H03,GATEWAY J&T CARGO SURABAYA,Surabaya,Tandes,-7.2540615,112.6863177,4.548
PKT-000240,H03,GATEWAY J&T CARGO SURABAYA,Surabaya,Tandes,-7.2630357,112.6588563,4.342
PKT-000241,H03,GATEWAY J&T CARGO SURABAYA,Surabaya,Krembangan,-7.2504827,112.7287973,8.308
PKT-000242,H03,GATEWAY J&T CARGO SURABAYA,Surabaya,Bulak,-7.2513407,112.7917065,15.018
PKT-000243,H03,GATEWAY J&T CARGO SURABAYA,Surabaya,Tambaksari,-7.2522868,112.7764987,13.404
PKT-000244,H03,GATEWAY J&T CARGO SURABAYA,Surabaya,Pakal,-7.2375144,112.5984543,6.779
PKT-000245,H03,GATEWAY J&T CARGO SURABAYA,Surabaya,Bulak,-7.2603246,112.7906614,15.141
PKT-000246,H03,GATEWAY J&T CARGO SURABAYA,Surabaya,Lakarsantri,-7.2992933,112.6794623,8.691
PKT-000247,H03,GATEWAY J&T CARGO SURABAYA,Surabaya,Wiyung,-7.3210461,112.6863961,11.226
PKT-000248,H03,GATEWAY J&T CARGO SURABAYA,Surabaya,Pakal,-7.2308134,112.5999712,6.488
PKT-000249,H03,GATEWAY J&T CARGO SURABAYA,Surabaya,Gunung Anyar,-7.3377647,112.7699682,17.651
PKT-000250,H03,GATEWAY J&T CARGO SURABAYA,Surabaya,Krembangan,-7.2358814,112.7337561,8.419
PKT-000251,H03,GATEWAY J&T CARGO SURABAYA,Surabaya,Sambikerep,-7.2913873,112.6475821,7.589
PKT-000252,H03,GATEWAY J&T CARGO SURABAYA,Surabaya,Rungkut,-7.3348472,112.7661021,17.121
PKT-000253,H03,GATEWAY J&T CARGO SURABAYA,Surabaya,Pakal,-7.2250208,112.5975087,6.716
PKT-000254,H03,GATEWAY J&T CARGO SURABAYA,Surabaya,Semampir,-7.224928,112.7530698,10.446
PKT-000255,H03,GATEWAY J&T CARGO SURABAYA,Surabaya,Simokerto,-7.2122198,112.7628314,11.597
